"QUARSIMAJUALUK" " K UW AH HH S IH M AH JH UW AH L UW K"
"NURQALAARQAT" "N UW HH K AH L AH AH HH K AH T "
"PINASUGUMAGAJARTUT" "P IH N AH S UW G UW M AH G AH JH AH HH T UW T "
"PINASUARUSIULAURTUMI" "P IH N AH S UW AH HH UW S IY UW L AH UW HH T UW M IY "
"ITIRTUQ" " IY T IY HH T UW K "
"ALIASUPPUNGA" " AH L IY AH S UW P P UW NG AH "
"LUUKASIMIK" "L UW UW K AH S IH M IH K "
"PIUJUQ" " P IH UW JH UW K "
"SITIMPIRI" " S IY T IH M P IH HH I"
"ULIMALIRITTIK" " UW L IH M AH L IY HH IY T T IH K "
"IIGATSANIK" " IY IY G AH T S AH N IH K "
"QAILIRUK" " K AH IY L IY HH UW K"
"ULIKATTAMIK" " UW L IH K AH T T AH M IH K "
"KUNNUT" "K UW N N UW T "
"TIITURUMAVUNGA" " T IY IY T UW HH UW M AH V UW NG AH "
"AKUNIALUK" " AH K UW N IY AH L UW K"
"UQASIQARQIT" " UW K AH S IY K AH HH K IY T "
"AKUNIALUQ" " AH K UW N IY AH L UW K "
"TAKUGUMAMMIJUNGA" " T AH K UW G UW M AH M M IY JH UW NG AH "
"SANAJAULAARQAT" "S AH N AH JH AH UW L AH AH HH K AH T "
"UQAUSILIMAANIK" " UW K AH UW S IY L IH M AH AH N IH K "
"IISIQATTALANGAVUTIT" " IY IY S IY K AH T T AH L AH NG AH V UW T IY T "
"UNNUSAKKUT" " UW N N UW S AH K K UW T "
"ATIQARQUNGA" " AH T IY K AH HH K UW NG AH "
"AAHAI" " AH AH H AH I"
"ILATIT" " IH L AH T IY T "
"AANNIAVIMMUT" " AH AH N N IY AH V IH M M UW T "
"QAILAARQUTIT" " K AH IH L AH AH HH K UW T IY T "
"KUUJJUARAAPIMMIILANGAVITA" "K UW UW JH JH UW AH HH AH AH P IH M M IY IH L AH NG AH V IH T AH "
"ATAATA" " AH T AH AH T AH "
"INGIRRASILAARATTA" " IH N G IH HH HH AH S IY L AH AH HH AH T T AH "
"AIVVIATUVINIIT" " AH IH V V IH AH T UW V IH N IY IY T "
"NUNALINNI" "N UW N AH L IH N N IY "
"QAIQUJAUTUARPATA" " K AH IY K UW JH AH UW T UW AH HH P AH T AH "
"QAUJISALAURLAGIT" " K AH UW JH IY S AH L AH UW HH L AH G IH T "
"QANUINNGITUQ" " K AH N UW IH N NG IY T UW K "
"IMIRARUMAVUNGA" " IH M IY HH AH HH UW M AH V UW NG AH "
"ANNURAATSIALANGAVUTIK" " AH N N UW HH AH AH T S IY AH L AH NG AH V UW T IH K "
"TIIQARPA" " T IY IY K AH HH P AH "
"TIKIPPUNGA" " T IH K IY P P UW NG AH "
"ALIASUPUNGA" " AH L IY AH S UW P UW NG AH "
"ANAANAKKUTIGUUQ" " AH N AH AH N AH K K UW T IG UW UW K "
"AJJIGINNGITUT" " AH JH JH IG IH N NG IY T UW T "
"NANIMIUNGUVIT" "N AH N IH M IY UW NG UW V IH T "
"IMAQATSIANGIMMATA" " IH M AH K AH T S IY AH NG IH M M AH T AH "
"AJJIGIINNGITUT" " AH JH JH IY G IH IH N NG IY T UW T "
"KIATIILU" " K IY AH T IY IY L UW "
"ANGIJUGALAAMIK" " AH NG IY JH UW G AH L AH AH M IH K "
"AANNIASIURTIKUNUT" " AH AH N N IY AH S IY UW HH T IH K UW N UW T "
"IMIRARUMAVIT" " IH M IY HH AH HH UW M AH V IH T "
"AAHAAI" " AH AH H AH AH I"
"TIKISIMALIRQAT" " T IH K IY S IH M AH L IY HH K AH T "
"KAAGUNNAIQUGUT" "K AH AH G UW N N AH IY K UW G UW T "
"KUAPAKKUNUUSIVIT" "K UW AH P AH K K UW N UW UW S IH V IY T "
"QUAQAUTIMUUSIJAKKA" " K UW AH K AH UW T IH M UW UW S IY JH AH K K AH "
"ALLATIUVUNGA" " AH L L AH T IY UW V UW NG AH "
"ILUUNNANGINNIK" " IH L UW UW N N AH NG IH N N IH K "
"IPPASAQ" " IY P P AH S AH K "
"AKILIGILANGAJAIT" " AH K IY L IY G IH L AH NG AH JH AH IY T "
"IMMUTULARIT" " IH M M UW T UW L AH HH IY T "
"ILINNIAVIMMI" " IH L IH N N IY AH V IH M M IY "
"QANUINNGITUNGA" " K AH N UW IH N NG IY T UW NG AH "
"KINAMIK" "K IH N AH M IH K "
"KUUJJUARAAPILIASIVITA" "K UW UW JH JH UW AH HH AH AH P IH L IY AH S IH V IY T AH "
"QANGATTAUTITAARSIMAMMIJUNGA" " K AH NG AH T T AH UW T IY T AH AH HH S IH M AH M M IY JH UW NG AH "
"TIKILANGAJUQ" " T IH K IH L AH NG AH JH UW K "
"PIVISI" "P IH V IY S IY "
"NATSIVINIRTULANGAVUNGA" "N AH T S IH V IH N IY HH T UW L AH NG AH V UW NG AH "
"TALLIMANNGUTUARPAT" " T AH L L IH M AH N NG UW T UW AH HH P AH T "
"QIJULIRIJIIT" " K IY JH UW L IY HH IY JH IY IY T "
"QAUPPALUUNNIIT" " K AH UW P P AH L UW UW N N IY IY T "
"TIKINNIQIT" " T IH K IH N N IY K IY T "
"NIQITAARIARTULUTA" " N IY K IY T AH AH HH IY AH HH T UW L UW T AH "
"PIJARIATUJUALUUMMAT" " P IH JH AH HH IY AH T UW JH UW AH L UW UW M M AH T "
"QISIJAANNIK" " K IY S IY JH AH AH N N IH K "
"MIVVIMUURTAULANGAVUNGA" "M IH V V IH M UW UW HH T AH UW L AH NG AH V UW NG AH "
"MIKIGIARNILU" "M IH K IY G IH AH HH N IY L UW "
"IRNIRA" " IY HH N IY HH AH "
"QAIGIASINNIQISI" " K AH IY G IH AH S IH N N IY K IY S IY "
"QUAQAUTIMUUSIJATIT" " K UW AH K AH UW T IH M UW UW S IY JH AH T IY T "
"TIITULAURIT" " T IY IY T UW L AH UW HH IY T "
"IRNIRALU" " IY HH N IY HH AH L UW "
"ILINNIATIIT" " IH L IH N N IY AH T IY IY T "
"SINILUARAMA" "S IH N IH L UW AH HH AH M AH "
"PIUSITUARPAT" " P IH UW S IY T UW AH HH P AH T "
"ANAANATSIAKUKKANI" " AH N AH AH N AH T S IY AH K UW K K AH N IY "
"AANNIAVITSAMIK" " AH AH N N IY AH V IH T S AH M IH K "
"TALLIMAUVUGUT" " T AH L L IH M AH UW V UW G UW T "
"AKUNIGALAAK" " AH K UW N IY G AH L AH AH K"
"AANIMILLU" " AH AH N IH M IY L L UW "
"UVAGULLU" " UW V AH G UW L L UW "
"NUNAKKUUJUURLI" "N UW N AH K K UW UW JH UW UW HH L IY "
"IMIRAQARQA" " IH M IY HH AH K AH HH K AH "
"QAITSILANGAVUNGA" " K AH IY T S IY L AH NG AH V UW NG AH "
"QAIQUJAULANGAJUT" " K AH IY K UW JH AH UW L AH NG AH JH UW T "
"KUAPAKKUNUUSIVUNGA" "K UW AH P AH K K UW N UW UW S IH V UW NG AH "
"ASUGUUQ" " AH S UW G UW UW K "
"PANIGALU" "P AH N IY G AH L UW "
"TIKIGIAMIT" " T IH K IY G IH AH M IY T "
"SAKUNIGALAAK" "S AH K UW N IY G AH L AH AH K"
"ANNIAVITSALIURNIMIK" " AH N N IY AH V IH T S AH L IY UW HH N IH M IH K "
"AULLALANGAVUNGA" " AH UW L L AH L AH NG AH V UW NG AH "
"UVANGALU" " UW V AH NG AH L UW "
"INUKTITUT" " IH N UW K T IY T UW T "
"NATSIVINIRMILUUNIIT" "N AH T S IH V IH N IY HH M IY L UW UW N IY IY T "
"NUNALINNUT" "N UW N AH L IH N N UW T "
"TIITULIRITSI" " T IY IY T UW L IY HH IY T S IY "
"PIGIARLUTIK" " P IH G IH AH HH L UW T IH K "
"ILITSINUULAURTA" " IY L IY T S IH N UW UW L AH UW HH T AH "
"TIKIGIAMIK" " T IH K IY G IH AH M IH K "
"ILLUIT" " IY L L UW IY T "
"SUNAMUT" "S UW N AH M UW T "
"AITSIQUAJAUJUT" " AH IY T S IY K UW AH JH AH UW JH UW T "
"NIRILANGAVISI" " N IY HH IH L AH NG AH V IH S IY "
"SIKITUTAALANGAVIT" "S IH K IY T UW T AH AH L AH NG AH V IH T "
"ILINNIAPIT" " IH L IH N N IY AH P IH T "
"TIKITUARPATA" " T IH K IY T UW AH HH P AH T AH "
"AANNIAVIMMIT" " AH AH N N IY AH V IH M M IY T "
"NIRIKAINNAQUNGA" " N IY HH IH K AH IH N N AH K UW NG AH "
"AANNIASIURTI" " AH AH N N IY AH S IY UW HH T I"
"PINASUQUJAULANGAVAT" "P IH N AH S UW K UW JH AH UW L AH NG AH V AH T "
"NUNALITTINI" "N UW N AH L IY T T IH N I"
"KATIMAJIQARSUNGALU" "K AH T IH M AH JH IY K AH HH S UW NG AH L UW "
"SILAMIITUQ" " S IY L AH M IY IY T UW K "
"SILATSIAPAUJAALUK" " S IY L AH T S IY AH P AH UW JH AH AH L UW K"
"PINGASUUJURTUNIK" "P IH N G AH S UW UW JH UW HH T UW N IH K "
"ILITSIRUMAGAMA" " IY L IY T S IY HH UW M AH G AH M AH "
"PINASUGUMAJUNIK" "P IH N AH S UW G UW M AH JH UW N IH K "
"NIRIGUMANNGILATIT" " N IY HH IG UW M AH N NG IH L AH T IY T "
"MAMARTUQ" "M AH M AH HH T UW K "
"AHAI" " AH H AH I"
"SIKIITURA" "S IH K IY IY T UW HH AH "
"NURQALAARTUT" "N UW HH K AH L AH AH HH T UW T "
"AIGUUQ" " AH IG UW UW K "
"NUKARANIK" "N UW K AH HH AH N IH K "
"AMISUALUUGAMIK" " AH M IY S UW AH L UW UW G AH M IH K "
"KAATTUVINIUTSUTA" "K AH AH T T UW V IH N IY UW T S UW T AH "
"NUNALAARTUUGALUAT" "N UW N AH L AH AH HH T UW UW G AH L UW AH T "
"MALILAARQUNGA" "M AH L IY L AH AH HH K UW NG AH "
"AKULIVIMMIUNGUVUNGA" " AH K UW L IH V IH M M IY UW NG UW V UW NG AH "
"ITSIVAGITSI" " IY T S IH V AH G IH T S IY "
"NIRITSIAPUGUT" " N IY HH IY T S IY AH P UW G UW T "
"IQIATTUTIMUT" " IY K IY AH T T UW T IH M UW T "
"QATSINGURTILUGU" " K AH T S IH N G UW HH T IH L UW G UW "
"AKULIVIMMIUT" " AH K UW L IH V IH M M IY UW T "
"ALIASUPPGUK" " AH L IY AH S UW P P G UW K"
"SINITTARIALANGAJUT" "S IH N IY T T AH HH IY AH L AH NG AH JH UW T "
"QANUITTUMIK" " K AH N UW IY T T UW M IH K "
"NUNALINNUUQAJANNGITUT" "N UW N AH L IH N N UW UW K AH JH AH N NG IY T UW T "
"INULIK" " IH N UW L IH K "
"IMMUK" " IH M M UW K"
"NIRIKAINNARAMA" " N IY HH IH K AH IH N N AH HH AH M AH "
"AANNIAVITSALIURLUTIK" " AH AH N N IY AH V IH T S AH L IY UW HH L UW T IH K "
"TISIMPIRI" " T IY S IH M P IH HH I"
"NIRITITAULANGAVUGUT" " N IY HH IY T IY T AH UW L AH NG AH V UW G UW T "
"IISIQATTALANGAVUNGA" " IY IY S IY K AH T T AH L AH NG AH V UW NG AH "
"MALILAARQIT" "M AH L IY L AH AH HH K IY T "
"NIQITAARTITAUSIMALIRQAT" " N IY K IY T AH AH HH T IY T AH UW S IH M AH L IY HH K AH T "
"PINASUQATTALANGAJUT" "P IH N AH S UW K AH T T AH L AH NG AH JH UW T "
"IQALUTSIULANGAVUGUT" " IY K AH L UW T S IY UW L AH NG AH V UW G UW T "
"ILANGIT" " IH L AH NG IY T "
"NAUKKUT" "N AH UW K K UW T "
"TAKUNIARQAASIVUNGA" " T AH K UW N IY AH HH K AH AH S IH V UW NG AH "
"KAMIALUUNIK" "K AH M IY AH L UW UW N IH K "
"AULLARIAQALAAARQUNGA" " AH UW L L AH HH IY AH K AH L AH AH AH HH K UW NG AH "
"NATSASIVUNGA" "N AH T S AH S IH V UW NG AH "
"MAMARIMMIJARA" "M AH M AH HH IH M M IY JH AH HH AH "
"KUAPPAKKUNUUSIVUNGA" "K UW AH P P AH K K UW N UW UW S IH V UW NG AH "
"PUIGURTAILIGIT" "P UW IG UW HH T AH IY L IY G IH T "
"AANNIVIAMMIT" " AH AH N N IH V IY AH M M IY T "
"ILINNIATITSIJIQARLUTIK" " IH L IH N N IY AH T IY T S IY JH IY K AH HH L UW T IH K "
"ANAANAQARQIT" " AH N AH AH N AH K AH HH K IY T "
"SOUNDINGUVATTINUT" " S OW UW ND IH N G UW V AH T T IH N UW T "
"INUMMARIILLU" " IH N UW M M AH HH IY IY L L UW "
"QAIGIASILAURQUGUT" " K AH IY G IH AH S IY L AH UW HH K UW G UW T "
"AULLALANGAVIT" " AH UW L L AH L AH NG AH V IH T "
"LUUKASIUVUNGA" "L UW UW K AH S IY UW V UW NG AH "
"TUPAARSIMANNGITUQ" " T UW P AH AH HH S IH M AH N NG IY T UW K "
"AULLASIJUT" " AH UW L L AH S IY JH UW T "
"SILAMIITTUQ" " S IY L AH M IY IY T T UW K "
"TIKIPPISI" " T IH K IY P P IY S IY "
"NIRITSIARATTA" " N IY HH IY T S IY AH HH AH T T AH "
"QUKIUTIMILLU" " K UW K IY UW T IH M IY L L UW "
"TAGGA" " T AH GG AH "
"TAQUATSANIK" " T AH K UW AH T S AH N IH K "
"UKIAKKUT" " UW K IY AH K K UW T "
"SILATSIARAALUK" " S IY L AH T S IY AH HH AH AH L UW K"
"QAUJIGASUARQUNGA" " K AH UW JH IG AH S UW AH HH K UW NG AH "
"QAUTAMAAT" " K AH UW T AH M AH AH T "
"AUTRTAULAARQA" " AH UW T HH T AH UW L AH AH HH K AH "
"MARRUUNIK" "M AH HH HH UW UW N IH K "
"ILINNIANILIRIJIKKUNI" " IH L IH N N IY AH N IY L IY HH IY JH IH K K UW N IY "
"NAMUNNGALANGAVITA" "N AH M UW N NG AH L AH NG AH V IH T AH "
"ANURIKUARTUALUUMMAT" " AH N UW HH IH K UW AH HH T UW AH L UW UW M M AH T "
"ILINNIATIT" " IH L IH N N IY AH T IY T "
"AANNIAVIT" " AH AH N N IY AH V IH T "
"IKKIINARTUQ" " IH K K IY IH N AH HH T UW K "
"URSUNGANIK" " UW HH S UW NG AH N IH K "
"ATUINNARUILANGASIVUNGA" " AH T UW IH N N AH HH UW IH L AH NG AH S IH V UW NG AH "
"INGIRRASIGATTA" " IH N G IH HH HH AH S IY G AH T T AH "
"MAANNA" "M AH AH N N AH "
"UUMAJURTAVINILIMAANJUNNGITUT" " UW UW M AH JH UW HH T AH V IH N IH L IH M AH AH N JH UW N NG IY T UW T "
"ALIASUPPIT" " AH L IY AH S UW P P IY T "
"QUARSIMAJUQ" " K UW AH HH S IH M AH JH UW K "
"AUKA" " AH UW K AH "
"TIKKITUQ" " T IH K K IY T UW K "
"UMIARMIULIMAAT" " UW M IY AH HH M IY UW L IH M AH AH T "
"AANNIAVIMMINIQIT" " AH AH N N IY AH V IH M M IH N IY K IY T "
"IMMUTUGIIRQUGUK" " IH M M UW T UW G IY IY HH K UW G UW K"
"SITAMIK" " S IY T AH M IH K "
"PIGIARSUNI" " P IH G IH AH HH S UW N IY "
"LIINNIK" " L IY IH N N IH K "
"UIMALIRITTIK" " UW IH M AH L IY HH IY T T IH K "
"IMMUTULANGAVUNGA" " IH M M UW T UW L AH NG AH V UW NG AH "
"UVANNUT" " UW V AH N N UW T "
"ANGUTIIT" " AH NG UW T IY IY T "
"ANGAJURQAANGUVUNGA" " AH NG AH JH UW HH K AH AH NG UW V UW NG AH "
"URSUALUGANNGINAMA" " UW HH S UW AH L UW G AH N NG IH N AH M AH "
"IMAKITTUALUUMMAT" " IH M AH K IY T T UW AH L UW UW M M AH T "
"MAQAIGUTINILLU" "M AH K AH IG UW T IH N IY L L UW "
"PAASAMIK" "P AH AH S AH M IH K "
"TAMAANITTUQ" " T AH M AH AH N IY T T UW K "
"ILLULIUTIIT" " IY L L UW L IY UW T IY IY T "
"KISARVIMI" " K IH S AH HH V IH M I"
"AATSUK" " AH AH T S UW K"
"ULIMAUTIQARQINUK" " UW L IH M AH UW T IY K AH HH K IH N UW K"
"AANNIAVUTIT" " AH AH N N IY AH V UW T IY T "
"QANUINNGITUUK" " K AH N UW IH N NG IY T UW UW K"
"NIQIIT" " N IY K IY IY T "
